url,tfidf_sim,title,policyList,policyTitles,USApolicyCitation,successful_policyList,successful_policyTitles,articlePdf,total_successful_policy,successfulPolicyPercentage,bert_large_uncased_sim,all_distilroberta_v1_sim,all_mpnet_base_v2_sim,all_MiniLM_L6_v2_sim,political_bert_sim,legal_bert_sim,specter_sim,scibert_sim,clinical_bert_sim,biobert_base_cased_v12_sim,sentence_t5_xl_sim,mean_tfidf_sim,mean_bert_large_uncased_sim,mean_all_distilroberta_v1_sim,mean_all_mpnet_base_v2_sim,mean_all_MiniLM_L6_v2_sim,mean_political_bert_sim,mean_legal_bert_sim,mean_specter_sim,mean_scibert_sim,mean_clinical_bert_sim,mean_biobert_base_cased_v12_sim,mean_sentence_t5_xl_sim
https://doi.org/10.1001/archopht.121.4.437,[0.0],efficacy of etanercept in preventing relapse of uveitis controlled by methotrexate,['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7173749/pdf'],['Adverse effects of biologics: a network meta‐analysis and Cochrane overview'],1,['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7173749/pdf'],['56_0_adverse effects of biologics a network meta‐analysis and cochrane overview.pdf'],56_efficacy of etanercept in preventing relapse of uveitis controlled by methotrexate.pdf,1,100.0,[0.729],[0.195],[0.333],[0.215],[0.775],[0.8],[0.71],[0.652],[0.88],[0.852],[0.637],0.0,0.729,0.195,0.333,0.215,0.775,0.8,0.71,0.652,0.88,0.852,0.637
https://doi.org/10.1001/archopht.124.6.913,[0.0],macular hole in the shaken baby syndrome,['https://www.optometry.ca.gov/meetings/materials/20170608_3y1.pdf'],['Board of Optometry - Meeting Materials'],1,['https://www.optometry.ca.gov/meetings/materials/20170608_3y1.pdf'],['58_0_board of optometry  meeting materials.pdf'],58_macular hole in the shaken baby syndrome.pdf,1,100.0,[0.673],[0.052],[0.083],[0.166],[0.633],[0.795],[0.717],[0.631],[0.806],[0.825],[0.576],0.0,0.673,0.052,0.083,0.166,0.633,0.795,0.717,0.631,0.806,0.825,0.576
https://doi.org/10.1001/archopht.126.12.1717,[0.0],prevalence and determinants of spectacle nonwear among rural chinese secondary schoolchildren,['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6491194/pdf'],['Vision screening for correctable visual acuity deficits in school‐age children and adolescents'],1,['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6491194/pdf'],['59_0_vision screening for correctable visual acuity deficits in school‐age children and adolescents.pdf'],59_prevalence and determinants of spectacle nonwear among rural chinese secondary schoolchildren.pdf,1,100.0,[0.761],[0.269],[0.544],[0.496],[0.79],[0.887],[0.779],[0.71],[0.909],[0.923],[0.695],0.0,0.761,0.269,0.544,0.496,0.79,0.887,0.779,0.71,0.909,0.923,0.695
https://doi.org/10.1001/archophthalmol.2010.231,[0.18],diagnostic performance of anterior chamber angle measurements for detecting eyes with narrow angles,['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7390269/pdf'],['Non‐contact tests for identifying people at risk of primary angle closure glaucoma'],1,['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7390269/pdf'],['61_0_non‐contact tests for identifying people at risk of primary angle closure glaucoma.pdf'],61_diagnostic performance of anterior chamber angle measurements for detecting eyes with narrow angles.pdf,1,100.0,[0.734],[0.487],[0.549],[0.528],[0.783],[0.865],[0.869],[0.767],[0.887],[0.922],[0.735],0.18,0.734,0.487,0.549,0.528,0.783,0.865,0.869,0.767,0.887,0.922,0.735
https://doi.org/10.1001/archophthalmol.2010.293,[0.0],classifying stability of misalignment in children with esotropia using simulations,['https://www.optometry.ca.gov/meetings/materials/20170608_3a3.pdf'],['Board of Optometry - Meeting Materials'],1,['https://www.optometry.ca.gov/meetings/materials/20170608_3a3.pdf'],['62_0_board of optometry  meeting materials.pdf'],62_classifying stability of misalignment in children with esotropia using simulations.pdf,1,100.0,[0.703],[0.041],[0.178],[0.132],[0.7],[0.795],[0.692],[0.661],[0.828],[0.868],[0.615],0.0,0.703,0.041,0.178,0.132,0.7,0.795,0.692,0.661,0.828,0.868,0.615
https://doi.org/10.1001/archpedi.154.11.1089,[0.0],ethnic differences in adolescent substance initiation sequences,['https://health.hawaii.gov/substance-abuse/files/2013/05/2007StatewideReport.pdf'],"['The Hawai ‘ I Student Alcohol, Tobacco, And Other Drug Use Study :']",1,['https://health.hawaii.gov/substance-abuse/files/2013/05/2007StatewideReport.pdf'],['70_0_the hawai  i student alcohol tobacco and other drug use study .pdf'],70_ethnic differences in adolescent substance initiation sequences.pdf,1,100.0,[0.725],[0.429],[0.513],[0.381],[0.688],[0.833],[0.775],[0.682],[0.828],[0.87],[0.691],0.0,0.725,0.429,0.513,0.381,0.688,0.833,0.775,0.682,0.828,0.87,0.691
https://doi.org/10.1001/archpedi.154.12.1243,"[0.0, 0.0, 0.0]",the impact of outreach efforts in reaching underimmunized children in a medicaid managed care practice,"['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8550333/pdf', 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6491344/pdf', 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6463821/pdf']","[""Factors that influence parents' and informal caregivers' views and practices regarding routine childhood vaccination: a qualitative evidence synthesis"", 'Patient reminder and recall interventions to improve immunization rates', 'Automated telephone communication systems for preventive healthcare and management of long‐term conditions']",3,"['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8550333/pdf', 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6463821/pdf', 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6491344/pdf']","['78_0_factors that influence parents and informal caregivers views and practices regarding routine childhood vaccination a qualitative evidence synthesis.pdf', '78_2_automated telephone communication systems for preventive healthcare and management of long‐term conditions.pdf', '78_1_patient reminder and recall interventions to improve immunization rates.pdf']",78_the impact of outreach efforts in reaching underimmunized children in a medicaid managed care practice.pdf,3,100.0,"[0.846, 0.765, 0.791]","[0.429, 0.148, 0.401]","[0.469, 0.18, 0.468]","[0.43, 0.151, 0.409]","[0.815, 0.783, 0.807]","[0.886, 0.858, 0.865]","[0.782, 0.634, 0.775]","[0.791, 0.773, 0.774]","[0.912, 0.906, 0.904]","[0.921, 0.919, 0.926]","[0.7, 0.666, 0.712]",0.0,0.801,0.326,0.372,0.33,0.802,0.87,0.73,0.779,0.907,0.922,0.693
https://doi.org/10.1001/archpedi.154.2.143,[0.0],asthma severity among children hospitalized in 1990 and 1995,['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7144689/pdf'],['Positioning for acute respiratory distress in hospitalised infants and children'],1,['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7144689/pdf'],['81_0_positioning for acute respiratory distress in hospitalised infants and children.pdf'],81_asthma severity among children hospitalized in 1990 and 1995.pdf,1,100.0,[0.778],[0.475],[0.45],[0.425],[0.754],[0.861],[0.626],[0.641],[0.895],[0.891],[0.779],0.0,0.778,0.475,0.45,0.425,0.754,0.861,0.626,0.641,0.895,0.891,0.779
https://doi.org/10.1001/archpedi.154.4.332,"[0.0, 0.0]",the adolescents training and learning to avoid steroids program,"['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3465038/pdf', 'http://www.wsipp.wa.gov/BenefitCost/ProgramsByTopicPdf/9/Wsipp_BenefitCost_ProgramDetails_Public-Health-Prevention', 'https://www.congress.gov/event/109th-congress/house-event/LC12007/text', 'https://purl.fdlp.gov/GPO/gpo75951', 'https://www.gao.gov/products/GAO-08-15', 'https://www.rand.org/pubs/tools/TL145.html']","[""National Athletic Trainers' Association Position Statement: Anabolic-Androgenic Steroids"", 'Washington State Institute for Public Policy', 'STEROIDS IN SPORTS: CHEATING THE SYSTEM AND GAMBLING YOUR HEALTH', 'Facing addiction in America :\xa0the Surgeon General’s report on alcohol, drugs and heath.', 'Anabolic Steroid Abuse: Federal Efforts to Prevent and Reduce Anabolic Steroid Abuse among Teenagers', 'Programs That Work']",6,"['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3465038/pdf', 'https://purl.fdlp.gov/GPO/gpo75951']","['85_0_national athletic trainers association position statement anabolicandrogenic steroids.pdf', '85_3_facing addiction in america \xa0the surgeon generals report on alcohol drugs and heath.pdf']",85_the adolescents training and learning to avoid steroids program.pdf,2,33.33,"[0.737, 0.717]","[0.572, 0.323]","[0.602, 0.255]","[0.613, 0.262]","[0.766, 0.769]","[0.854, 0.869]","[0.762, 0.642]","[0.734, 0.756]","[0.876, 0.876]","[0.89, 0.896]","[0.682, 0.629]",0.0,0.727,0.448,0.428,0.438,0.768,0.861,0.702,0.745,0.876,0.893,0.655
https://doi.org/10.1001/archpedi.154.4.339,[0.0],renal function 16 to 26 years after the first urinary tract infection in childhood,"['https://stacks.cdc.gov/view/cdc/58459', 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6380991/pdf']","['Peer Review Comments and CDC Responses for “Recommendations for Providers Counseling Male Patients and Parents Regarding Male Circumcision and the Prevention of HIV Infection, STIs, and other Health Outcomes” and “Background, Methods, and Synthesis of Scientific Information Used to Inform the ‘Recommendations for Providers Counseling Male Patients and Parents Regarding Male Circumcision and the Prevention of HIV infection, STIs, and other Health Outcomes.’”', 'Interventions for primary vesicoureteric reflux']",2,['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6380991/pdf'],['86_1_interventions for primary vesicoureteric reflux.pdf'],86_renal function 16 to 26 years after the first urinary tract infection in childhood.pdf,1,50.0,[0.782],[0.197],[0.273],[0.188],[0.718],[0.838],[0.747],[0.74],[0.866],[0.878],[0.685],0.0,0.782,0.197,0.273,0.188,0.718,0.838,0.747,0.74,0.866,0.878,0.685
https://doi.org/10.1001/archpedi.154.5.484,[0.0],a costeffectiveness analysis of newborn hearing screening strategies,['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3459803/pdf'],['Specific guidelines for assessing and improving the methodological quality of economic evaluations of newborn screening'],1,['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3459803/pdf'],['89_0_specific guidelines for assessing and improving the methodological quality of economic evaluations of newborn screening.pdf'],89_a costeffectiveness analysis of newborn hearing screening strategies.pdf,1,100.0,[0.856],[0.657],[0.715],[0.602],[0.843],[0.878],[0.842],[0.73],[0.903],[0.917],[0.798],0.0,0.856,0.657,0.715,0.602,0.843,0.878,0.842,0.73,0.903,0.917,0.798
https://doi.org/10.1001/archpedi.154.6.569,[0.0],weightrelated behaviors among adolescent girls and boys,['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6999856/pdf'],['Interventions for preventing eating disorders in children and adolescents'],1,['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6999856/pdf'],['90_0_interventions for preventing eating disorders in children and adolescents.pdf'],90_weightrelated behaviors among adolescent girls and boys.pdf,1,100.0,[0.843],[0.476],[0.557],[0.46],[0.718],[0.867],[0.784],[0.703],[0.895],[0.914],[0.749],0.0,0.843,0.476,0.557,0.46,0.718,0.867,0.784,0.703,0.895,0.914,0.749
